año,mes,Fecha,Nivel garantía bajo,Nivel garantía medio,Nuevos Usuarios,Total Usuarios
2021,2,02/10/2021 12:00:00 AM,21,53,74,74
2021,2,02/11/2021 12:00:00 AM,35,50,85,159
2021,2,02/12/2021 12:00:00 AM,35,93,128,287
2021,2,02/13/2021 12:00:00 AM,10,14,24,311
2021,2,02/14/2021 12:00:00 AM,6,13,19,330
2021,2,02/15/2021 12:00:00 AM,29,54,83,413
2021,2,02/16/2021 12:00:00 AM,29,63,92,505
2021,2,02/17/2021 12:00:00 AM,34,13,47,552
2021,2,02/18/2021 12:00:00 AM,28,39,67,619
2021,2,02/19/2021 12:00:00 AM,24,36,60,679
2021,2,02/20/2021 12:00:00 AM,13,29,42,721
2021,2,02/21/2021 12:00:00 AM,9,21,30,751
2021,2,02/22/2021 12:00:00 AM,40,50,90,841
2021,2,02/23/2021 12:00:00 AM,28,58,86,927
2021,2,02/24/2021 12:00:00 AM,35,65,100,1027
2021,2,02/25/2021 12:00:00 AM,49,139,188,1215
2021,2,02/26/2021 12:00:00 AM,45,88,133,1348
2021,2,02/27/2021 12:00:00 AM,21,22,43,1391
2021,2,02/28/2021 12:00:00 AM,4,16,20,1411
2021,3,03/01/2021 12:00:00 AM,50,59,109,1520
2021,3,03/02/2021 12:00:00 AM,34,69,103,1623
2021,3,03/03/2021 12:00:00 AM,36,66,102,1725
2021,3,03/04/2021 12:00:00 AM,23,49,72,1797
2021,3,03/05/2021 12:00:00 AM,36,46,82,1879
2021,3,03/06/2021 12:00:00 AM,12,34,46,1925
2021,3,03/07/2021 12:00:00 AM,7,18,25,1950
2021,3,03/08/2021 12:00:00 AM,17,59,76,2026
2021,3,03/09/2021 12:00:00 AM,37,54,91,2117
2021,3,03/10/2021 12:00:00 AM,31,69,100,2217
2021,3,03/11/2021 12:00:00 AM,57,130,187,2404
2021,3,03/12/2021 12:00:00 AM,76,118,194,2598
2021,3,03/13/2021 12:00:00 AM,25,54,79,2677
2021,3,03/14/2021 12:00:00 AM,17,24,41,2718
2021,3,03/15/2021 12:00:00 AM,62,103,165,2883
2021,3,03/16/2021 12:00:00 AM,70,112,182,3065
2021,3,03/17/2021 12:00:00 AM,77,129,206,3271
2021,3,03/18/2021 12:00:00 AM,70,146,216,3487
2021,3,03/19/2021 12:00:00 AM,49,121,170,3657
2021,3,03/20/2021 12:00:00 AM,25,66,91,3748
2021,3,03/21/2021 12:00:00 AM,11,36,47,3795
2021,3,03/22/2021 12:00:00 AM,31,46,77,3872
2021,3,03/23/2021 12:00:00 AM,81,194,275,4147
2021,3,03/24/2021 12:00:00 AM,81,163,244,4391
2021,3,03/25/2021 12:00:00 AM,116,398,514,4905
2021,3,03/26/2021 12:00:00 AM,122,444,566,5471
2021,3,03/27/2021 12:00:00 AM,47,160,207,5678
2021,3,03/28/2021 12:00:00 AM,26,94,120,5798
